iter	Accuracy	MultiClass
0	0.7412559603	0.6830836581
1	0.791812399	0.6690333058
2	0.7959459447	0.6599448478
3	0.8165341803	0.6527647275
4	0.8476947527	0.6475519871
5	0.8371224158	0.6405423319
6	0.8547694749	0.625418034
7	0.8724165339	0.6196295256
8	0.8682829882	0.6111729901
9	0.8906200311	0.6058527376
10	0.8994435606	0.5981865623
11	0.8906200311	0.591248757
12	0.8771065178	0.5835563771
13	0.8800476943	0.5792997482
14	0.8741653412	0.5733644548
15	0.8800476943	0.568742013
16	0.8906200311	0.5636002725
17	0.8829888708	0.5596859191
18	0.8859300473	0.5515411657
19	0.8994435606	0.546784883
20	0.9082670901	0.5419221398
21	0.9053259136	0.5344637347
22	0.9141494432	0.5261370682
23	0.9141494432	0.5217329438
24	0.9141494432	0.5175351133
25	0.9141494432	0.5146871211
26	0.9276629565	0.5080826943
27	0.9276629565	0.5025481564
28	0.92472178	0.4989897987
29	0.9276629565	0.4935395449
30	0.92472178	0.4888075024
31	0.92472178	0.4832433843
32	0.9276629565	0.4793846696
33	0.92472178	0.4766897166
34	0.92472178	0.4719993758
35	0.9276629565	0.4677360245
36	0.9276629565	0.4638173663
37	0.92472178	0.4594369644
38	0.9276629565	0.4556543727
39	0.92472178	0.4529026948
40	0.930604133	0.4475289617
41	0.9170906197	0.4446012588
42	0.936486486	0.4406093323
43	0.9394276625	0.4352234473
44	0.9394276625	0.4315277912
45	0.936486486	0.4291568716
46	0.942368839	0.4258449136
47	0.942368839	0.420706692
48	0.942368839	0.418420716
49	0.942368839	0.4157346691
50	0.942368839	0.413364234
51	0.942368839	0.4111938065
52	0.942368839	0.4088992518
53	0.9558823524	0.4050075938
54	0.9558823524	0.4021653068
55	0.9558823524	0.4005878621
56	0.942368839	0.3969350883
57	0.9529411759	0.3933939086
58	0.9394276625	0.390724278
59	0.9529411759	0.3870144455
60	0.9529411759	0.3849251886
61	0.9558823524	0.3823022261
62	0.9558823524	0.3780442852
63	0.9588235289	0.375409084
64	0.9617647054	0.3733268789
65	0.9588235289	0.3703979311
66	0.9617647054	0.3676651753
67	0.9617647054	0.3644914661
68	0.9558823524	0.3622876355
69	0.9588235289	0.3584877324
70	0.9588235289	0.3559980959
71	0.9588235289	0.3532231549
72	0.9588235289	0.3505467088
73	0.9588235289	0.3486996183
74	0.9647058819	0.3463898968
75	0.9647058819	0.3439589159
76	0.9647058819	0.3416193497
77	0.9647058819	0.3395727188
78	0.9647058819	0.3384147006
79	0.9647058819	0.3366504834
80	0.9647058819	0.3347344995
81	0.9647058819	0.3323185365
82	0.9647058819	0.3299426483
83	0.9647058819	0.3279067343
84	0.9647058819	0.3260739826
85	0.9647058819	0.323534704
86	0.9647058819	0.3223005676
87	0.9617647054	0.3200380515
88	0.9617647054	0.3177341802
89	0.9647058819	0.3159295385
90	0.9617647054	0.3145636207
91	0.9617647054	0.3133662912
92	0.9617647054	0.3112483835
93	0.9617647054	0.3091749967
94	0.9647058819	0.3069940206
95	0.9647058819	0.3053275338
96	0.9647058819	0.3032885692
97	0.9647058819	0.3011496346
98	0.9705882349	0.2993649818
99	0.9676470584	0.2967689418
100	0.9676470584	0.2934264756
101	0.9647058819	0.2916492796
102	0.9647058819	0.2904450833
103	0.9647058819	0.2888033546
104	0.9647058819	0.287287004
105	0.9647058819	0.2854701778
106	0.9676470584	0.2831339593
107	0.9676470584	0.2803112185
108	0.9676470584	0.2792438573
109	0.9676470584	0.2776640436
110	0.9676470584	0.2762492515
111	0.9676470584	0.2749184725
112	0.9676470584	0.2730973933
113	0.9676470584	0.2710654424
114	0.9676470584	0.2696181057
115	0.9676470584	0.2677755597
116	0.9676470584	0.2659547787
117	0.9676470584	0.2646579163
118	0.9705882349	0.2626547635
119	0.9705882349	0.2607216061
120	0.9705882349	0.2595340865
121	0.9705882349	0.2573507825
122	0.9705882349	0.2561125996
123	0.9705882349	0.2540924376
124	0.9705882349	0.2520013655
125	0.9735294114	0.2505880875
126	0.9735294114	0.2493364744
127	0.9735294114	0.247941259
128	0.9735294114	0.2456873669
129	0.9735294114	0.2446618638
130	0.9764705879	0.2418506042
131	0.9764705879	0.2403517654
132	0.9794117644	0.2388049932
133	0.9794117644	0.2374677884
134	0.9794117644	0.2355370574
135	0.9794117644	0.2337100248
136	0.9794117644	0.2316107883
137	0.9794117644	0.2294313556
138	0.9794117644	0.2276596381
139	0.9794117644	0.2262309656
140	0.9794117644	0.2244864974
141	0.9794117644	0.2228420553
142	0.9794117644	0.2209674665
143	0.9794117644	0.2196318654
144	0.9794117644	0.2178039451
145	0.9794117644	0.2157215611
146	0.9794117644	0.2145797283
147	0.9794117644	0.2130232572
148	0.9794117644	0.210788076
149	0.9794117644	0.2098135803
150	0.9794117644	0.2085918033
151	0.9794117644	0.2075715217
152	0.9794117644	0.2058870921
153	0.9794117644	0.2046939371
154	0.9794117644	0.2036822144
155	0.9794117644	0.2014070793
156	0.9794117644	0.1996899089
157	0.982352941	0.1980466716
158	0.982352941	0.1968927763
159	0.982352941	0.1949806625
160	0.982352941	0.1936003986
161	0.982352941	0.1920821713
162	0.982352941	0.1899331977
163	0.982352941	0.1882605339
164	0.9852941175	0.1862454147
165	0.9852941175	0.1852371335
166	0.9852941175	0.1831333987
167	0.9852941175	0.18127424
168	0.9852941175	0.1798845872
169	0.9852941175	0.1788723023
170	0.9852941175	0.1777725907
171	0.9852941175	0.176659039
172	0.9852941175	0.1755786115
173	0.9852941175	0.1733793274
174	0.9852941175	0.1718697906
175	0.9852941175	0.1710464211
176	0.9852941175	0.1699336009
177	0.9852941175	0.1688694276
178	0.9852941175	0.1677191694
179	0.9852941175	0.1666464419
180	0.9852941175	0.1655976912
181	0.9852941175	0.1645244859
182	0.9852941175	0.1634680175
183	0.9852941175	0.1620759454
184	0.9852941175	0.1609138183
185	0.9852941175	0.1600450967
186	0.9852941175	0.1584553782
187	0.9852941175	0.1575031341
188	0.988235294	0.1563207379
189	0.988235294	0.1551668118
190	0.988235294	0.1537922427
191	0.988235294	0.1525479284
192	0.988235294	0.1511891793
193	0.988235294	0.1502668288
194	0.988235294	0.1492315571
195	0.9911764705	0.1483202991
196	0.994117647	0.1475153273
197	0.9911764705	0.1463583768
198	0.994117647	0.1455604217
199	0.994117647	0.1448009503
200	0.994117647	0.1436887814
201	0.994117647	0.1422340354
202	0.994117647	0.1412030275
203	0.994117647	0.1406058978
204	0.994117647	0.1396644404
205	0.994117647	0.1386634556
206	0.994117647	0.1377870606
207	0.9970588235	0.1371541983
208	0.9970588235	0.1362494959
209	0.9970588235	0.1354388406
210	0.9970588235	0.1343382083
211	0.9970588235	0.1332250931
212	0.9970588235	0.1323383323
213	0.9970588235	0.1315623895
214	0.9970588235	0.1309301213
215	0.9970588235	0.1300433551
216	0.9970588235	0.1291847253
217	0.9970588235	0.1284506906
218	0.9970588235	0.1277838025
219	0.9970588235	0.1270472892
220	0.9970588235	0.1263645852
221	0.9970588235	0.1254958409
222	0.9970588235	0.1248884373
223	0.9970588235	0.1240618829
224	0.9970588235	0.1235330999
225	0.9970588235	0.1227070257
226	0.9970588235	0.1215919545
227	0.9970588235	0.1211154938
228	0.9970588235	0.1206367386
229	0.9970588235	0.1200856206
230	0.9970588235	0.1194446372
231	0.9970588235	0.1185369706
232	0.9970588235	0.1176195913
233	0.9970588235	0.1171252423
234	0.9970588235	0.1165368851
235	0.9970588235	0.1160038098
236	0.9970588235	0.1153414388
237	0.9970588235	0.1145704784
238	0.9970588235	0.1139360281
239	0.9970588235	0.1132736742
240	0.9970588235	0.1128327546
241	0.9970588235	0.1122023794
242	0.9970588235	0.1114792496
243	0.9970588235	0.1110416633
244	0.9970588235	0.1102518414
245	0.9970588235	0.1097055835
246	1	0.1092184759
247	1	0.1085692373
248	1	0.1081262738
249	1	0.1072025276
250	1	0.106511244
251	1	0.1060805673
252	1	0.1053717516
253	1	0.1047603108
254	1	0.1041424682
255	1	0.1035886544
256	1	0.1029867737
257	1	0.1026288248
258	1	0.1021742651
259	1	0.1015564948
260	1	0.1008780567
261	1	0.1001939014
262	1	0.09956838726
263	1	0.09908546053
264	1	0.09860119114
265	1	0.09813824494
266	1	0.09758928784
267	1	0.09723714007
268	1	0.09668537586
269	1	0.09608003195
270	1	0.09561907141
271	1	0.09503434333
272	1	0.09450569052
273	1	0.09399803162
274	1	0.09337742429
275	1	0.09286906785
276	1	0.09209041476
277	1	0.09167388426
278	1	0.09111787787
279	1	0.09043545971
280	1	0.09006536809
281	1	0.08960873096
282	1	0.0891488659
283	1	0.08856291886
284	1	0.08808490167
285	1	0.08757296071
286	1	0.08731908886
287	1	0.08700110877
288	1	0.08664163479
289	1	0.08617791218
290	1	0.08574022434
291	1	0.08547324972
292	1	0.08531573651
293	1	0.08473815939
294	1	0.08435622723
295	1	0.08403247193
296	1	0.08366323336
297	1	0.08321229949
298	1	0.08273573683
299	1	0.08232246185
300	1	0.08185258701
301	1	0.08131412398
302	1	0.08098185803
303	1	0.08074885631
304	1	0.08037699277
305	1	0.07985898668
306	1	0.07949517109
307	1	0.07913673628
308	1	0.0787103987
309	1	0.07845738204
310	1	0.07799916215
311	1	0.07763687852
312	1	0.07736733501
313	1	0.07698327119
314	1	0.07652899623
315	1	0.07605308511
316	1	0.07565743256
317	1	0.0753327714
318	1	0.07503082491
319	1	0.07479583815
320	1	0.07449919717
321	1	0.07415559583
322	1	0.07378733
323	1	0.07358666902
324	1	0.07332069177
325	1	0.07291612136
326	1	0.07244698837
327	1	0.07181161941
328	1	0.07138303947
329	1	0.07106848131
330	1	0.07080730339
331	1	0.07043091594
332	1	0.06998747245
333	1	0.06958624806
334	1	0.0692391513
335	1	0.06895711421
336	1	0.06871021704
337	1	0.06844504494
338	1	0.06801272854
339	1	0.06780756768
340	1	0.06725575291
341	1	0.06698092294
342	1	0.0667170806
343	1	0.06647198624
344	1	0.06620617896
345	1	0.06589079247
346	1	0.06567521291
347	1	0.06529761884
348	1	0.06507110791
349	1	0.06484047222
350	1	0.06471173638
351	1	0.0646150232
352	1	0.06427680516
353	1	0.06407575818
354	1	0.06368331364
355	1	0.06338061276
356	1	0.06306180123
357	1	0.06293524028
358	1	0.06271663984
359	1	0.06227525165
360	1	0.06196137038
361	1	0.06172479725
362	1	0.06151361101
363	1	0.06125078993
364	1	0.06104432545
365	1	0.06083904904
366	1	0.0605876159
367	1	0.06025298088
368	1	0.05996943947
369	1	0.05952163798
370	1	0.05935851065
371	1	0.05908865846
372	1	0.0589159059
373	1	0.058701447
374	1	0.0584940863
375	1	0.05825773663
376	1	0.05799317193
377	1	0.05771753329
378	1	0.05759504707
379	1	0.05738305083
380	1	0.05713144575
381	1	0.05696325606
382	1	0.05671919604
383	1	0.05647536517
384	1	0.05621744118
385	1	0.05600978484
386	1	0.05576323086
387	1	0.05553727688
388	1	0.05529840515
389	1	0.05509297935
390	1	0.05477037665
391	1	0.05450240426
