iter	Passed	Remaining
0	5	2906
1	12	3045
2	16	2721
3	21	2655
4	27	2676
5	32	2669
6	37	2669
7	42	2630
8	47	2593
9	52	2550
10	57	2551
11	61	2513
12	64	2398
13	68	2370
14	74	2401
15	79	2395
16	84	2388
17	89	2400
18	95	2429
19	101	2428
20	106	2430
21	111	2418
22	116	2416
23	121	2416
24	126	2405
25	131	2389
26	139	2439
27	143	2424
28	149	2421
29	154	2426
30	159	2419
31	164	2412
32	170	2410
33	176	2416
34	180	2402
35	186	2399
36	190	2388
37	196	2387
38	204	2411
39	209	2404
40	214	2398
41	219	2398
42	224	2390
43	229	2377
44	235	2382
45	241	2380
46	246	2371
47	250	2363
48	257	2373
49	263	2367
50	268	2361
51	273	2353
52	277	2343
53	283	2338
54	288	2332
55	293	2327
56	298	2321
57	304	2316
58	308	2307
59	313	2300
60	318	2293
61	323	2287
62	328	2278
63	333	2271
64	339	2271
65	343	2260
66	348	2255
67	354	2251
68	358	2242
69	360	2213
70	365	2208
71	371	2205
72	375	2196
73	380	2190
74	385	2185
75	390	2176
76	394	2166
77	400	2168
78	405	2161
79	410	2153
80	415	2148
81	422	2152
82	426	2142
83	432	2143
84	438	2139
85	443	2136
86	449	2132
87	453	2123
88	458	2115
89	463	2112
90	468	2105
91	472	2096
92	478	2092
93	482	2085
94	487	2079
95	493	2077
96	498	2072
97	503	2066
98	510	2066
99	515	2062
100	520	2056
101	526	2054
102	531	2048
103	535	2040
104	540	2034
105	545	2028
106	550	2020
107	554	2013
108	559	2008
109	564	2002
110	570	2000
111	576	1997
112	599	2054
113	604	2047
114	609	2041
115	614	2034
116	618	2025
117	623	2019
118	628	2011
119	633	2005
120	637	1996
121	642	1990
122	647	1985
123	652	1978
124	657	1973
125	663	1970
126	668	1963
127	674	1959
128	678	1952
129	683	1945
130	688	1940
131	695	1938
132	700	1932
133	705	1927
134	711	1923
135	716	1916
136	721	1912
137	728	1910
138	733	1906
139	738	1899
140	744	1894
141	750	1892
142	756	1888
143	762	1883
144	766	1877
145	772	1872
146	776	1865
147	781	1858
148	786	1853
149	791	1847
150	795	1839
151	800	1832
152	805	1827
153	810	1820
154	815	1814
155	820	1810
156	826	1805
157	831	1799
158	836	1793
159	841	1787
160	845	1781
161	852	1778
162	857	1773
163	862	1767
164	867	1762
165	872	1755
166	877	1750
167	882	1744
168	887	1738
169	892	1732
170	897	1727
171	903	1722
172	911	1722
173	916	1717
174	921	1711
175	926	1705
176	931	1700
177	937	1695
178	941	1688
179	946	1682
180	951	1676
181	956	1671
182	961	1665
183	967	1661
184	973	1657
185	979	1652
186	984	1648
187	991	1645
188	997	1641
189	1003	1636
190	1007	1630
191	1012	1624
192	1017	1618
193	1021	1612
194	1026	1605
195	1031	1600
196	1035	1593
197	1040	1586
198	1044	1579
199	1049	1574
200	1054	1568
201	1059	1562
202	1064	1557
203	1069	1551
204	1074	1546
205	1080	1541
206	1084	1535
207	1089	1529
208	1095	1525
209	1100	1519
210	1104	1512
211	1108	1506
212	1113	1500
213	1117	1493
214	1122	1487
215	1127	1482
216	1132	1477
217	1137	1471
218	1144	1468
219	1149	1462
220	1155	1458
221	1160	1453
222	1165	1447
223	1170	1442
224	1176	1437
225	1181	1432
226	1185	1425
227	1190	1420
228	1195	1414
229	1200	1408
230	1204	1402
231	1209	1397
232	1214	1391
233	1219	1386
234	1224	1380
235	1229	1375
236	1236	1372
237	1241	1367
238	1247	1362
239	1252	1356
240	1257	1351
241	1263	1346
242	1267	1340
243	1272	1335
244	1278	1330
245	1283	1324
246	1288	1319
247	1293	1314
248	1313	1324
249	1318	1318
250	1323	1313
251	1328	1307
252	1333	1301
253	1339	1297
254	1344	1291
255	1348	1285
256	1353	1279
257	1358	1273
258	1362	1267
259	1367	1262
260	1372	1257
261	1377	1251
262	1382	1245
263	1388	1241
264	1393	1235
265	1398	1229
266	1402	1223
