bar_time,signal,reason,prob,grade,sl,tp,rr,zone_quality,htf_4h_bias,in_session,session_id,in_demand,in_supply,rule_good_session,rule_buy_score,rule_sell_score
2026-05-14 22:30:00,NONE,prob=0.273 < threshold=0.325,0.0,,,,,1.358,-1.0,0,0,0,1,0,0.0,3.0
2026-05-14 22:45:00,NONE,between zones,0.0,,,,,1.444,-1.0,0,0,1,0,0,2.0,1.0
2026-05-14 23:00:00,NONE,between zones,0.0,,,,,0.962,-1.0,0,0,1,1,0,1.0,2.0
2026-05-14 23:15:00,NONE,SL/TP computation failed (missing zone levels or RR<1.5),0.0,,,,,1.467,-1.0,0,0,0,1,0,0.0,2.0
2026-05-14 23:30:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.095,-1.0,0,0,1,1,0,1.0,4.0
2026-05-14 23:45:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.457,-1.0,0,0,1,1,0,1.0,2.0
2026-05-15 00:00:00,SELL,sell Grade=C zone_quality=1.34 prob=0.711 rr=1.86,0.7115,C,4661.8528,4622.6523,1.86,1.342,-1.0,0,0,0,1,0,0.0,2.0
2026-05-15 00:30:00,SELL,sell Grade=C zone_quality=2.58 prob=0.896 rr=2.67,0.896,C,4636.1045,4590.9811,2.67,2.585,-1.0,0,0,0,1,0,0.0,4.0
2026-05-15 05:15:00,SELL,sell Grade=C zone_quality=1.92 prob=0.883 rr=1.5,0.8831,C,4612.4343,4549.0511,1.5,1.921,-1.0,0,0,0,1,0,0.0,3.0
2026-05-15 07:15:00,NONE,between zones,0.0,,,,,2.145,-1.0,0,0,1,0,0,2.0,1.0
2026-05-15 07:30:00,NONE,between zones,0.0,,,,,1.224,-1.0,0,0,0,1,0,0.0,2.0
2026-05-15 07:45:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.016,-1.0,0,0,1,1,0,1.0,2.0
2026-05-15 08:00:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,0.983,-1.0,0,0,1,1,0,1.0,2.0
2026-05-15 08:15:00,SELL,sell Grade=C zone_quality=1.32 prob=0.711 rr=2.02,0.7112,C,4579.5625,4522.3432,2.02,1.324,-1.0,0,0,0,1,0,0.0,2.0
2026-05-15 13:45:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,3.175,-1.0,1,2,1,0,0,2.0,1.0
2026-05-15 14:00:00,NONE,between zones,0.0,,,,,1.699,-1.0,1,2,1,0,0,1.0,1.0
2026-05-15 14:15:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,2.653,-1.0,1,2,1,1,0,2.0,2.0
2026-05-15 14:30:00,NONE,between zones,0.0,,,,,1.141,-1.0,1,2,1,1,0,1.0,2.0
2026-05-15 14:45:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,0.656,-1.0,1,2,1,1,0,1.0,3.0
2026-05-15 15:00:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,0.644,-1.0,0,0,1,1,0,1.0,3.0
2026-05-15 15:15:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,0.675,-1.0,0,0,1,1,0,2.0,2.0
2026-05-15 15:30:00,NONE,between zones,0.0,,,,,1.371,-1.0,0,0,1,1,0,1.0,2.0
2026-05-15 15:45:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,0.913,-1.0,0,0,1,0,0,1.0,2.0
2026-05-15 16:00:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.802,-1.0,0,0,1,1,1,2.0,5.0
2026-05-15 16:15:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,0.94,-1.0,0,0,1,1,1,2.0,3.0
2026-05-15 16:30:00,NONE,between zones,0.0,,,,,0.973,-1.0,0,0,1,0,1,2.0,2.0
2026-05-15 16:45:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,1.02,-1.0,0,0,1,1,1,2.0,3.0
2026-05-15 17:00:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,0.821,-1.0,0,0,1,1,1,3.0,3.0
2026-05-15 17:15:00,NONE,"HTF trend gate: 4H bearish (bias=-1.0), blocking buy",0.0,,,,,0.85,-1.0,0,0,1,1,1,3.0,3.0
