date,exit_date,side,entry,sl,tp,exit,outcome,lot,pnl,equity,pattern,tp_mode,zone_tf,zone_kind,zone_top,zone_bottom,zone_score
2024-01-02 15:45:00,2024-01-03 09:30:00,buy,2059.34,2056.06,2077.03,2056.06,-1,0.01,-3.27,146.73,pin_bar,zone,1H,support,2059.14,2058.12,4.0
2024-01-10 10:00:00,2024-01-11 13:30:00,sell,2037.11,2044.01,2020.09,2044.01,-1,0.01,-6.9,139.82,pin_bar,zone,1H,resistance,2041.97,2038.64,4.0
2024-01-28 23:00:00,2024-01-29 06:45:00,sell,2024.26,2028.85,2017.45,2028.85,-1,0.01,-4.59,135.24,pin_bar,zone,1H,resistance,2026.82,2024.61,4.0
2024-02-02 14:00:00,2024-02-05 09:15:00,buy,2031.6,2021.4,2053.61,2021.4,-1,0.01,-10.2,125.04,pin_bar,zone,1H,support,2028.61,2023.42,6.0
2024-02-08 14:30:00,2024-02-09 13:30:00,sell,2029.68,2035.4,2017.79,2035.4,-1,0.01,-5.73,119.31,pin_bar,zone,1H,resistance,2033.37,2030.52,3.0
2024-03-07 06:00:00,2024-03-08 13:30:00,buy,2154.29,2144.99,2172.81,2172.81,1,0.01,18.52,137.84,pin_bar,fallback,1H,support,2152.23,2147.13,3.0
2024-03-13 13:15:00,2024-03-13 17:00:00,buy,2164.49,2158.21,2174.69,2174.69,1,0.01,10.2,148.04,engulfing,zone,1H,support,2161.5,2160.37,3.0
2024-03-21 20:00:00,2024-03-22 07:00:00,buy,2182.23,2169.76,2203.97,2169.76,-1,0.01,-12.46,135.57,morning_star,zone,1H,support,2181.95,2171.93,3.0
2024-04-04 14:00:00,2024-04-05 01:00:00,buy,2292.18,2279.22,2317.92,2279.22,-1,0.01,-12.96,122.61,morning_star,fallback,1H,support,2288.24,2281.5,3.0
2024-04-12 16:45:00,2024-04-12 17:00:00,buy,2369.24,2360.82,2385.89,2360.82,-1,0.01,-8.42,114.19,pin_bar,fallback,1H,support,2365.34,2363.18,3.0
2024-04-15 14:30:00,2024-04-15 19:15:00,buy,2348.78,2331.45,2383.58,2383.58,1,0.01,34.79,148.99,morning_star,fallback,1H,support,2338.74,2333.78,3.0
2024-04-17 14:00:00,2024-04-17 16:30:00,sell,2389.4,2400.65,2365.65,2365.65,1,0.01,23.75,172.73,evening_star,zone,4H,resistance,2398.25,2389.68,6.0
2024-04-25 08:00:00,2024-04-25 12:45:00,sell,2326.22,2333.64,2315.0,2333.64,-1,0.01,-7.43,165.31,pin_bar,zone,1H,resistance,2331.31,2328.82,5.0
2024-05-02 00:00:00,2024-05-03 13:30:00,sell,2324.34,2330.62,2284.01,2284.01,1,0.01,40.33,205.64,pin_bar,zone,1H,resistance,2328.29,2325.3,4.0
2024-05-14 12:30:00,2024-05-15 08:30:00,buy,2346.59,2333.74,2369.47,2369.47,1,0.01,22.89,228.53,pin_bar,zone,1H,support,2338.11,2336.08,4.0
