date,exit_date,side,entry,sl,tp,exit,outcome,lot,pnl,equity,pattern,tp_mode,zone_tf,zone_kind,zone_top,zone_bottom,zone_score
2024-01-02 15:45:00,2024-01-03 09:30:00,buy,2059.34,2056.06,2077.03,2056.06,-1,0.01,-3.27,146.73,pin_bar,zone,1H,support,2059.14,2058.12,3.0
2024-01-28 23:00:00,2024-01-29 06:45:00,sell,2024.26,2028.85,2017.45,2028.85,-1,0.01,-4.59,142.14,pin_bar,zone,1H,resistance,2026.82,2024.61,3.0
2024-02-05 03:45:00,2024-02-05 08:00:00,buy,2032.21,2025.71,2053.61,2025.71,-1,0.01,-6.5,135.64,morning_star,zone,1H,support,2031.62,2027.74,3.0
2024-02-05 14:15:00,2024-02-06 01:00:00,buy,2017.31,2013.85,2027.74,2027.74,1,0.01,10.43,146.07,morning_star,zone,4H,support,2017.02,2015.87,4.0
2024-03-07 07:45:00,2024-03-08 13:30:00,buy,2156.0,2144.99,2177.88,2177.88,1,0.01,21.88,167.95,pin_bar,fallback,1H,support,2152.23,2147.13,3.0
2024-03-22 15:15:00,2024-03-22 17:15:00,buy,2169.4,2160.42,2184.88,2160.42,-1,0.01,-8.98,158.97,pin_bar,zone,1H,support,2168.4,2162.58,3.0
2024-03-26 14:30:00,2024-03-26 15:00:00,buy,2183.36,2175.85,2203.97,2175.85,-1,0.01,-7.51,151.46,pin_bar,zone,1H,support,2180.06,2178.03,3.0
2024-04-08 01:00:00,2024-04-08 02:00:00,buy,2306.82,2299.93,2327.15,2327.15,1,0.01,20.33,171.8,pin_bar,zone,1H,support,2304.87,2302.23,3.0
2024-04-09 13:00:00,2024-04-09 15:45:00,buy,2352.51,2338.53,2380.57,2338.53,-1,0.01,-13.98,157.82,engulfing,fallback,1H,support,2348.51,2340.87,3.0
2024-04-09 17:00:00,2024-04-10 12:30:00,buy,2344.28,2336.6,2363.18,2336.6,-1,0.01,-7.68,150.14,pin_bar,zone,1H,support,2342.0,2338.94,3.0
2024-07-05 12:30:00,2024-07-08 15:45:00,buy,2372.88,2351.86,2442.2,2351.86,-1,0.01,-21.02,129.12,pin_bar,zone,1H,support,2357.03,2354.21,4.0
2024-07-19 13:30:00,2024-07-22 12:30:00,buy,2403.75,2388.97,2429.33,2388.97,-1,0.01,-14.78,114.34,engulfing,zone,1H,support,2397.86,2391.36,3.0
2024-08-20 16:00:00,2024-08-21 13:30:00,buy,2509.75,2500.54,2528.09,2500.54,-1,0.01,-9.21,105.13,pin_bar,fallback,1H,support,2507.18,2503.04,3.0
2024-08-22 14:15:00,2024-08-23 09:15:00,buy,2477.82,2470.38,2500.83,2500.83,1,0.01,23.01,128.14,pin_bar,zone,1H,support,2477.72,2472.86,3.0
2024-08-27 14:45:00,2024-08-27 15:15:00,sell,2514.8,2520.08,2483.71,2520.08,-1,0.01,-5.28,122.87,evening_star,zone,1H,resistance,2517.56,2514.9,3.0
2024-08-27 23:30:00,2024-08-28 05:00:00,sell,2525.18,2529.54,2509.88,2509.88,1,0.01,15.3,138.17,evening_star,zone,1H,resistance,2527.01,2526.47,3.0
2024-09-04 20:45:00,2024-09-05 06:00:00,sell,2495.24,2502.83,2483.71,2502.83,-1,0.01,-7.59,130.57,pin_bar,zone,1H,resistance,2500.33,2496.23,4.0
2024-09-06 11:15:00,2024-09-06 12:30:00,sell,2518.53,2524.39,2507.33,2524.39,-1,0.01,-5.86,124.71,pin_bar,zone,1H,resistance,2521.86,2520.14,3.0
2024-09-19 11:30:00,2024-09-19 12:30:00,buy,2587.82,2581.66,2600.28,2581.66,-1,0.01,-6.16,118.55,engulfing,fallback,1H,support,2586.96,2584.25,3.0
2024-09-27 09:30:00,2024-09-27 14:45:00,buy,2663.14,2652.06,2682.76,2652.06,-1,0.01,-11.08,107.47,engulfing,zone,1H,support,2660.87,2654.72,3.0
