entry_date,side,entry,sl,tp,sl_dist,orig_sl_exit_date,sanity_ok,outcome,cf_exit_date,sweep_$,sweep_%,req_mult
2021-08-02 02:00:00,buy,1812.06,1805.9,1829.45,6.16,2021-08-02 12:00:00,True,TP-after-sweep,2021-08-04 13:00:00,0.38,6.1,1.06
2021-08-23 11:00:00,sell,1790.8,1797.31,1779.88,6.51,2021-08-23 12:00:00,True,TP-after-sweep,2021-08-26 13:00:00,12.19,187.2,2.87
2021-09-07 11:00:00,buy,1810.84,1802.83,1829.26,8.01,2021-09-07 14:00:00,True,never-recovered,2021-09-16 18:00:00,57.81,721.6,
2021-09-22 13:00:00,sell,1774.23,1783.39,1754.75,9.16,2021-09-22 18:00:00,True,TP-after-sweep,2021-09-23 13:00:00,3.77,41.2,1.41
2021-09-30 15:00:00,sell,1758.0,1762.56,1719.05,4.56,2021-10-01 14:00:00,True,never-recovered,2021-10-11 23:00:00,18.73,411.2,
2022-01-06 06:00:00,buy,1801.96,1796.51,1830.62,5.45,2022-01-06 08:00:00,True,never-recovered,2022-01-17 13:00:00,14.22,261.1,
2022-01-06 10:00:00,buy,1801.19,1787.42,1830.62,13.77,2022-01-06 13:00:00,True,never-recovered,2022-01-17 17:00:00,5.13,37.3,
2022-01-21 20:00:00,buy,1831.84,1821.45,1862.36,10.39,2022-01-26 19:00:00,True,never-recovered,2022-02-02 04:00:00,41.56,400.1,
2022-06-02 14:00:00,sell,1865.43,1871.53,1829.71,6.1,2022-06-03 00:00:00,True,TP-after-sweep,2022-06-10 12:00:00,2.44,39.9,1.4
2022-10-23 23:00:00,sell,1661.22,1670.01,1628.8,8.79,2022-10-26 07:00:00,True,never-recovered,2022-11-02 06:00:00,4.82,54.9,
2023-10-10 10:00:00,sell,1856.68,1866.58,1830.54,9.9,2023-10-11 07:00:00,True,never-recovered,2023-10-19 17:00:00,106.16,1072.2,
2023-10-31 18:00:00,buy,1984.48,1974.84,2006.94,9.64,2023-11-01 16:00:00,True,never-recovered,2023-11-10 03:00:00,30.33,314.7,
2024-07-25 03:00:00,buy,2374.7,2358.4,2468.27,16.3,2024-07-25 14:00:00,True,TP-after-sweep,2024-08-02 06:00:00,5.31,32.6,1.33
2024-08-02 15:00:00,buy,2433.07,2422.33,2468.27,10.74,2024-08-05 00:00:00,True,TP-after-sweep,2024-08-12 17:00:00,58.06,540.7,6.41
2024-12-13 15:00:00,buy,2659.81,2641.03,2719.76,18.78,2024-12-17 09:00:00,True,never-recovered,2024-12-26 02:00:00,57.65,306.9,
